
0.011252725136    SN.node[78].Communication.MAC            EVENT:POS | Node:78 | x:5000 | y:5000 | Type:Vehicle
0.011385644902    SN.node[464].Communication.MAC           EVENT:POS | Node:464 | x:5000 | y:5000 | Type:Vehicle
0.011529210337    SN.node[138].Communication.MAC           EVENT:POS | Node:138 | x:5000 | y:5000 | Type:Vehicle
0.01154181339     SN.node[358].Communication.MAC           EVENT:POS | Node:358 | x:5000 | y:5000 | Type:Vehicle
0.011573051533    SN.node[345].Communication.MAC           EVENT:POS | Node:345 | x:5000 | y:5000 | Type:Vehicle
0.01160491947     SN.node[433].Communication.MAC           EVENT:POS | Node:433 | x:5000 | y:5000 | Type:Vehicle
0.011684600461    SN.node[201].Communication.MAC           EVENT:POS | Node:201 | x:5000 | y:5000 | Type:Vehicle
0.011921814887    SN.node[329].Communication.MAC           EVENT:POS | Node:329 | x:5000 | y:5000 | Type:Vehicle
0.012028515734    SN.node[318].Communication.MAC           EVENT:POS | Node:318 | x:5000 | y:5000 | Type:Vehicle
0.012133771076    SN.node[134].Communication.MAC           EVENT:POS | Node:134 | x:5000 | y:5000 | Type:Vehicle
0.012148909165    SN.node[432].Communication.MAC           EVENT:POS | Node:432 | x:5000 | y:5000 | Type:Vehicle
0.012326773372    SN.node[490].Communication.MAC           EVENT:POS | Node:490 | x:5000 | y:5000 | Type:Vehicle
0.012394415086    SN.node[15].Communication.MAC            EVENT:POS | Node:15 | x:5000 | y:5000 | Type:Vehicle
0.012587075529    SN.node[243].Communication.MAC           EVENT:POS | Node:243 | x:5000 | y:5000 | Type:Vehicle
0.012860318901    SN.node[239].Communication.MAC           EVENT:POS | Node:239 | x:5000 | y:5000 | Type:Vehicle
0.012879264587    SN.node[53].Communication.MAC            EVENT:POS | Node:53 | x:5000 | y:5000 | Type:Vehicle
0.012962622253    SN.node[36].Communication.MAC            EVENT:POS | Node:36 | x:5000 | y:5000 | Type:Vehicle
0.013017253694    SN.node[270].Communication.MAC           EVENT:POS | Node:270 | x:5000 | y:5000 | Type:Vehicle
0.013121367397    SN.node[389].Communication.MAC           EVENT:POS | Node:389 | x:5000 | y:5000 | Type:Vehicle
0.013194333517    SN.node[174].Communication.MAC           EVENT:POS | Node:174 | x:5000 | y:5000 | Type:Vehicle
0.013216276292    SN.node[468].Communication.MAC           EVENT:POS | Node:468 | x:5000 | y:5000 | Type:Vehicle
0.013397387741    SN.node[237].Communication.MAC           EVENT:POS | Node:237 | x:5000 | y:5000 | Type:Vehicle
0.013440366438    SN.node[219].Communication.MAC           EVENT:POS | Node:219 | x:5000 | y:5000 | Type:Vehicle
0.013461779011    SN.node[84].Communication.MAC            EVENT:POS | Node:84 | x:5000 | y:5000 | Type:Vehicle
0.013717608293    SN.node[445].Communication.MAC           EVENT:POS | Node:445 | x:5000 | y:5000 | Type:Vehicle
0.013731873477    SN.node[437].Communication.MAC           EVENT:POS | Node:437 | x:5000 | y:5000 | Type:Vehicle
0.013739025581    SN.node[248].Communication.MAC           EVENT:POS | Node:248 | x:5000 | y:5000 | Type:Vehicle
0.013746005378    SN.node[45].Communication.MAC            EVENT:POS | Node:45 | x:5000 | y:5000 | Type:Vehicle
